Name (location);Time/Call;Samples;Calls;% Time
parents;;0;5;0.0
cv::videostab::OnePassStabilizer::setUp(cv::Mat const&) (stabilizer.cpp:275);;0;5;0.0
std::vector<cv::Mat, std::allocator<cv::Mat> >::vector();;0;5;0.0
children;;0;5;0.0
std::_Vector_base<cv::Mat, std::allocator<cv::Mat> >::_Vector_base() (stl_vector.h:125);;0;5;0.0
parents;;0;5;0.0
cv::videostab::StabilizerBase::StabilizerBase() (stabilizer.cpp:57);;0;5;0.0
std::vector<cv::Mat, std::allocator<cv::Mat> >::~vector();;0;5;0.0
parents;;0;5;0.0
cv::videostab::StabilizerBase::~StabilizerBase() (stabilizer.hpp:66);;0;5;0.0
children;;0;15;0.0
std::_Vector_base<cv::Mat, std::allocator<cv::Mat> >::_M_get_Tp_allocator() (stl_vector.h:114);;0;5;0.0
std::_Vector_base<cv::Mat, std::allocator<cv::Mat> >::~_Vector_base() (stl_vector.h:160);;0;5;0.0
void std::_Destroy<cv::Mat*, cv::Mat>(cv::Mat*, cv::Mat*, std::allocator<cv::Mat>&) (stl_construct.h:152);;0;5;0.0
__gnu_cxx::new_allocator<float>::max_size() const;;0;6;0.0
parents;;0;6;0.0
__gnu_cxx::new_allocator<float>::allocate(unsigned int, void const*) (new_allocator.h:91);;0;2;0.0
__gnu_cxx::__alloc_traits<std::allocator<float> >::max_size(std::allocator<float> const&) (alloc_traits.h:208);;0;4;0.0
bool std::operator!=<char, std::char_traits<char>, std::allocator<char> >(std::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, char const*);;0;6;0.0
children;;0;6;0.0
bool std::operator==<char, std::char_traits<char>, std::allocator<char> >(std::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, char const*) (basic_string.h:2516);;0;6;0.0
parents;;0;6;0.0
MotionEstimatorRansacL2Builder::build() (videostab.cpp:198);;0;2;0.0
main (videostab.cpp:464);;0;4;0.0
cv::Ptr<IMotionEstimatorBuilder>::release();;0;6;0.0
children;;0;2;0.0
cv::Ptr<IMotionEstimatorBuilder>::delete_obj() (operations.hpp:2611);;0;2;0.0
parents;;0;6;0.0
cv::Ptr<IMotionEstimatorBuilder>::operator=(cv::Ptr<IMotionEstimatorBuilder> const&) (operations.hpp:2630);;0;2;0.0
cv::Ptr<IMotionEstimatorBuilder>::~Ptr() (operations.hpp:2616);;0;4;0.0
cv::Ptr<cv::videostab::IOutlierRejector>::~Ptr();;0;6;0.0
children;;0;6;0.0
cv::Ptr<cv::videostab::IOutlierRejector>::release() (operations.hpp:2600);;0;6;0.0
parents;;0;6;0.0
MotionEstimatorRansacL2Builder::build() (videostab.cpp:229);;0;2;0.0
cv::videostab::KeypointBasedMotionEstimator::KeypointBasedMotionEstimator(cv::Ptr<cv::videostab::MotionEstimatorBase>) (global_motion.cpp:671);;0;2;0.0
cv::videostab::KeypointBasedMotionEstimator::~KeypointBasedMotionEstimator() (global_motion.hpp:172);;0;2;0.0
cv::Ptr<cv::videostab::ISparseOptFlowEstimator>::release();;0;6;0.0
children;;0;2;0.0
cv::Ptr<cv::videostab::ISparseOptFlowEstimator>::delete_obj() (operations.hpp:2611);;0;2;0.0
parents;;0;6;0.0
cv::Ptr<cv::videostab::ISparseOptFlowEstimator>::operator=(cv::Ptr<cv::videostab::ISparseOptFlowEstimator> const&) (operations.hpp:2631);;0;2;0.0
cv::Ptr<cv::videostab::ISparseOptFlowEstimator>::~Ptr() (operations.hpp:2616);;0;4;0.0
cv::Ptr<cv::videostab::ImageMotionEstimatorBase>::release();;0;6;0.0
children;;0;2;0.0
cv::Ptr<cv::videostab::ImageMotionEstimatorBase>::delete_obj() (operations.hpp:2611);;0;2;0.0
parents;;0;6;0.0
cv::Ptr<cv::videostab::ImageMotionEstimatorBase>::operator=(cv::Ptr<cv::videostab::ImageMotionEstimatorBase> const&) (operations.hpp:2630);;0;2;0.0
cv::Ptr<cv::videostab::ImageMotionEstimatorBase>::~Ptr() (operations.hpp:2616);;0;4;0.0
void std::_Destroy<float*, float>(float*, float*, std::allocator<float>&);;0;6;0.0
children;;0;6;0.0
void std::_Destroy<float*>(float*, float*) (stl_construct.h:124);;0;6;0.0
parents;;0;6;0.0
std::vector<float, std::allocator<float> >::_M_erase_at_end(float*) (stl_vector.h:1319);;0;1;0.0
std::vector<float, std::allocator<float> >::_M_fill_insert(__gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > >, unsigned int, float const&) (vector.tcc:515);;0;2;0.0
std::vector<float, std::allocator<float> >::~vector() (stl_vector.h:403);;0;3;0.0
void std::_Destroy<float*>(float*, float*);;0;6;0.0
children;;0;6;0.0
void std::_Destroy_aux<true>::__destroy<float*>(float*, float*) (stl_construct.h:114);;0;6;0.0
parents;;0;6;0.0
void std::_Destroy<float*, float>(float*, float*, std::allocator<float>&) (stl_construct.h:156);;0;6;0.0
void std::_Destroy_aux<true>::__destroy<float*>(float*, float*);;0;6;0.0
parents;;0;6;0.0
void std::_Destroy<float*>(float*, float*) (stl_construct.h:128);;0;6;0.0
std::basic_string<char, std::char_traits<char>, std::allocator<char> > std::operator+<char, std::char_traits<char>, std::allocator<char> >(std::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, char const*);;0;7;0.0
parents;;0;7;0.0
MotionEstimatorRansacL2Builder::build() (videostab.cpp:195);;0;7;0.0
__gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > >::base() const;;0;8;0.0
parents;;0;8;0.0
__gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > >::difference_type __gnu_cxx::operator-<float*, std::vector<float, std::allocator<float> > >(__gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > > const&, __gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > > const&) (stl_iterator.h:900);;0;4;0.0
std::vector<float, std::allocator<float> >::_M_fill_insert(__gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > >, unsigned int, float const&) (vector.tcc:491);;0;4;0.0
cv::Ptr<cv::FeatureDetector>::release();;0;8;0.0
children;;0;3;0.0
cv::Ptr<cv::FeatureDetector>::delete_obj() (operations.hpp:2611);;0;3;0.0
parents;;0;8;0.0
cv::Ptr<cv::FeatureDetector>::operator=(cv::Ptr<cv::FeatureDetector> const&) (operations.hpp:2630);;0;3;0.0
cv::Ptr<cv::FeatureDetector>::~Ptr() (operations.hpp:2616);;0;5;0.0
std::_Miter_base<float*>::iterator_type std::__miter_base<float*>(float*);;0;8;0.0
children;;0;8;0.0
std::_Iter_base<float*, false>::_S_base(float*) (stl_iterator_base_types.h:213);;0;8;0.0
parents;;0;8;0.0
float* std::copy<float*, float*>(float*, float*, float*) (stl_algobase.h:454);;0;8;0.0
std::_Vector_base<cv::Point_<float>, std::allocator<cv::Point_<float> > >::_Vector_base();;0;8;0.0
children;;0;8;0.0
std::_Vector_base<cv::Point_<float>, std::allocator<cv::Point_<float> > >::_Vector_impl::_Vector_impl() (stl_vector.h:87);;0;8;0.0
parents;;0;8;0.0
std::vector<cv::Point_<float>, std::allocator<cv::Point_<float> > >::vector() (stl_vector.h:247);;0;8;0.0
std::_Vector_base<cv::Point_<float>, std::allocator<cv::Point_<float> > >::_Vector_impl::_Vector_impl();;0;8;0.0
children;;0;8;0.0
std::allocator<cv::Point_<float> >::allocator() (allocator.h:104);;0;8;0.0
parents;;0;8;0.0
std::_Vector_base<cv::Point_<float>, std::allocator<cv::Point_<float> > >::_Vector_base() (stl_vector.h:126);;0;8;0.0
std::vector<cv::Point_<float>, std::allocator<cv::Point_<float> > >::vector();;0;8;0.0
children;;0;8;0.0
std::_Vector_base<cv::Point_<float>, std::allocator<cv::Point_<float> > >::_Vector_base() (stl_vector.h:125);;0;8;0.0
parents;;0;8;0.0
cv::videostab::KeypointBasedMotionEstimator::KeypointBasedMotionEstimator(cv::Ptr<cv::videostab::MotionEstimatorBase>) (global_motion.cpp:667);;0;8;0.0
cv::Ptr<cv::videostab::IOutlierRejector>::release();;0;9;0.0
children;;0;3;0.0
cv::Ptr<cv::videostab::IOutlierRejector>::delete_obj() (operations.hpp:2611);;0;3;0.0
parents;;0;9;0.0
cv::Ptr<cv::videostab::IOutlierRejector>::operator=(cv::Ptr<cv::videostab::IOutlierRejector> const&) (operations.hpp:2630);;0;3;0.0
cv::Ptr<cv::videostab::IOutlierRejector>::~Ptr() (operations.hpp:2616);;0;6;0.0
cv::Ptr<cv::videostab::IFrameSource>::release();;0;10;0.0
children;;0;4;0.0
cv::Ptr<cv::videostab::IFrameSource>::delete_obj() (operations.hpp:2611);;0;4;0.0
parents;;0;10;0.0
main (videostab.cpp:542);;0;1;0.0
cv::Ptr<cv::videostab::IFrameSource>::operator=(cv::Ptr<cv::videostab::IFrameSource> const&) (operations.hpp:2630);;0;3;0.0
cv::Ptr<cv::videostab::IFrameSource>::~Ptr() (operations.hpp:2616);;0;6;0.0
std::_Vector_base<float, std::allocator<float> >::_M_get_Tp_allocator();;0;12;0.0
parents;;0;12;0.0
std::vector<float, std::allocator<float> >::_M_erase_at_end(float*) (stl_vector.h:1319);;0;1;0.0
std::vector<float, std::allocator<float> >::~vector() (stl_vector.h:403);;0;3;0.0
std::vector<float, std::allocator<float> >::_M_fill_insert(__gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > >, unsigned int, float const&) (vector.tcc:486);;0;8;0.0
std::vector<float, std::allocator<float> >::size() const;;0;12;0.0
parents;;0;12;0.0
std::vector<float, std::allocator<float> >::resize(unsigned int, float) (stl_vector.h:686);;0;4;0.0
std::vector<float, std::allocator<float> >::_M_check_len(unsigned int, char const*) const (stl_vector.h:1305);;0;8;0.0
std::_Niter_base<float*>::iterator_type std::__niter_base<float*>(float*);;0;14;0.0
children;;0;14;0.0
std::_Iter_base<float*, false>::_S_base(float*) (stl_iterator_base_types.h:213);;0;14;0.0
parents;;0;14;0.0
float* std::fill_n<float*, unsigned int, float>(float*, unsigned int, float const&) (stl_algobase.h:780);;0;2;0.0
float* std::__copy_move_a2<false, float*, float*>(float*, float*, float*) (stl_algobase.h:422);;0;12;0.0
std::_Iter_base<float*, false>::_S_base(float*);;0;22;0.0
parents;;0;22;0.0
std::_Miter_base<float*>::iterator_type std::__miter_base<float*>(float*) (stl_algobase.h:283);;0;8;0.0
std::_Niter_base<float*>::iterator_type std::__niter_base<float*>(float*) (stl_algobase.h:272);;0;14;0.0
std::basic_string<char, std::char_traits<char>, std::allocator<char> > cv::CommandLineParser::get<std::basic_string<char, std::char_traits<char>, std::allocator<char> > >(std::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, bool) const;;0;30;0.0
parents;;0;30;0.0
MotionEstimatorRansacL2Builder::build() (videostab.cpp:195);;0;4;0.0
main (videostab.cpp:338);;0;26;0.0
bool std::operator==<char, std::char_traits<char>, std::allocator<char> >(std::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, char const*);;0;31;0.0
parents;;0;31;0.0
MotionEstimatorRansacL2Builder::build() (videostab.cpp:208);;0;1;0.0
motionModel(std::basic_string<char, std::char_traits<char>, std::allocator<char> > const&) (videostab.cpp:549);;0;5;0.0
bool std::operator!=<char, std::char_traits<char>, std::allocator<char> >(std::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, char const*) (basic_string.h:2555);;0;6;0.0
main (videostab.cpp:345);;0;19;0.0
std::exp(float);;0;112;0.0
parents;;0;112;0.0
cv::videostab::GaussianMotionFilter::setParams(int, float) (motion_stabilizing.cpp:101);;0;112;0.0
void std::_Destroy<cv::Mat>(cv::Mat*);;0;405;0.0
children;;14;405;6.8965516
cv::Mat::~Mat() (mat.hpp:274);;14;405;6.8965516
parents;;0;405;0.0
void std::_Destroy_aux<false>::__destroy<cv::Mat*>(cv::Mat*, cv::Mat*) (stl_construct.h:105);;0;405;0.0
__gnu_cxx::new_allocator<int>::deallocate(int*, unsigned int);;0;526;0.0
parents;;0;526;0.0
std::_Vector_base<int, std::allocator<int> >::_M_deallocate(int*, unsigned int) (stl_vector.h:175);;0;526;0.0
__gnu_cxx::new_allocator<int>::new_allocator();;0;526;0.0
parents;;0;526;0.0
std::allocator<int>::allocator() (allocator.h:104);;0;526;0.0
__gnu_cxx::new_allocator<int>::new_allocator(__gnu_cxx::new_allocator<int> const&);;0;526;0.0
parents;;0;526;0.0
std::allocator<int>::allocator(std::allocator<int> const&) (allocator.h:107);;0;526;0.0
cv::Ptr<cv::FeatureDetector>::operator->();;0;526;0.0
parents;;1;526;0.49261084
cv::videostab::KeypointBasedMotionEstimator::estimate(cv::Mat const&, cv::Mat const&, bool*) (global_motion.cpp:678);;1;526;0.49261084
cv::Ptr<cv::videostab::IOutlierRejector>::operator cv::videostab::IOutlierRejector*();;0;526;0.0
parents;;1;526;0.49261084
cv::videostab::KeypointBasedMotionEstimator::estimate(cv::Mat const&, cv::Mat const&, bool*) (global_motion.cpp:704);;1;526;0.49261084
cv::Ptr<cv::videostab::ISparseOptFlowEstimator>::operator->();;0;526;0.0
parents;;1;526;0.49261084
cv::videostab::KeypointBasedMotionEstimator::estimate(cv::Mat const&, cv::Mat const&, bool*) (global_motion.cpp:686);;1;526;0.49261084
cv::RNG::RNG(unsigned long long);;0;526;0.0
parents;;7;526;3.4482758
cv::videostab::estimateGlobalMotionRansac(cv::_InputArray const&, cv::_InputArray const&, int, cv::videostab::RansacParams const&, float*, int*) (global_motion.cpp:376);;7;526;3.4482758
cv::TermCriteria::TermCriteria(int, int, double);;0;526;0.0
parents;;0;526;0.0
cv::videostab::SparsePyrLkOptFlowEstimator::run(cv::_InputArray const&, cv::_InputArray const&, cv::_InputArray const&, cv::_OutputArray const&, cv::_OutputArray const&, cv::_OutputArray const&) (optical_flow.cpp:59);;0;526;0.0
cv::_InputArray::_InputArray<unsigned char>(std::vector<unsigned char, std::allocator<unsigned char> > const&);;0;526;0.0
children;;0;526;0.0
cv::Size_<int>::Size_() (operations.hpp:1848);;0;526;0.0
parents;;0;526;0.0
cv::_OutputArray::_OutputArray<unsigned char>(std::vector<unsigned char, std::allocator<unsigned char> >&) (mat.hpp:1141);;0;526;0.0
cv::_OutputArray::_OutputArray<unsigned char>(std::vector<unsigned char, std::allocator<unsigned char> >&);;0;526;0.0
parents;;1;526;0.49261084
cv::videostab::KeypointBasedMotionEstimator::estimate(cv::Mat const&, cv::Mat const&, bool*) (global_motion.cpp:686);;1;526;0.49261084
children;;0;526;0.0
cv::_InputArray::_InputArray<unsigned char>(std::vector<unsigned char, std::allocator<unsigned char> > const&) (mat.hpp:1119);;0;526;0.0
cv::videostab::MotionEstimatorRansacL2::estimate(cv::_InputArray const&, cv::_InputArray const&, bool*);;0;526;0.0
children;;22;5260;10.837439
cv::Mat::~Mat() (mat.hpp:274);;14;1578;6.8965516
cv::videostab::estimateGlobalMotionRansac(cv::_InputArray const&, cv::_InputArray const&, int, cv::videostab::RansacParams const&, float*, int*) (global_motion.cpp:355);;7;526;3.4482758
cv::Mat::Mat(cv::Mat const&) (mat.hpp:111);;1;526;0.49261084
cv::Mat_<float>::Mat_() (mat.hpp:800);;0;526;0.0
cv::Mat_<float>::operator=(cv::Mat const&) (mat.hpp:879);;0;526;0.0
cv::Mat_<float>::~Mat_() (core.hpp:2691);;0;526;0.0
cv::videostab::MotionEstimatorBase::motionModel() const (global_motion.hpp:80);;0;1052;0.0
parents;;1;526;0.49261084
cv::videostab::KeypointBasedMotionEstimator::estimate(cv::Mat const&, cv::Mat const&, bool*) (global_motion.cpp:729);;1;526;0.49261084
cv::videostab::OnePassStabilizer::estimateMotion();;0;526;0.0
children;;1;2104;0.49261084
cv::videostab::KeypointBasedMotionEstimator::estimate(cv::Mat const&, cv::Mat const&, bool*) (global_motion.cpp:676);;1;526;0.49261084
cv::Ptr<cv::videostab::ImageMotionEstimatorBase>::operator->() (operations.hpp:2636);;0;526;0.0
cv::Mat& cv::videostab::at<cv::Mat>(int, std::vector<cv::Mat, std::allocator<cv::Mat> >&) (ring_buffer.hpp:54);;0;1052;0.0
parents;;0;526;0.0
cv::videostab::StabilizerBase::doOneIteration() (stabilizer.cpp:129);;0;526;0.0
cv::videostab::RansacParams::niters() const;;0;526;0.0
parents;;7;526;3.4482758
cv::videostab::estimateGlobalMotionRansac(cv::_InputArray const&, cv::_InputArray const&, int, cv::videostab::RansacParams const&, float*, int*) (global_motion.cpp:363);;7;526;3.4482758
children;;0;2104;0.0
std::ceil(float) (cmath:188);;0;526;0.0
std::pow(float, int) (cmath:426);;0;526;0.0
std::log(float) (cmath:361);;0;1052;0.0
cv::videostab::SparsePyrLkOptFlowEstimator::run(cv::_InputArray const&, cv::_InputArray const&, cv::_InputArray const&, cv::_OutputArray const&, cv::_OutputArray const&, cv::_OutputArray const&);;0;526;0.0
parents;;1;526;0.49261084
cv::videostab::KeypointBasedMotionEstimator::estimate(cv::Mat const&, cv::Mat const&, bool*) (global_motion.cpp:686);;1;526;0.49261084
children;;0;1052;0.0
cv::Size_<int>::Size_(cv::Size_<int> const&) (operations.hpp:1852);;0;526;0.0
cv::TermCriteria::TermCriteria(int, int, double) (operations.hpp:2507);;0;526;0.0
std::_Vector_base<int, std::allocator<int> >::_M_create_storage(unsigned int);;0;526;0.0
children;;0;526;0.0
std::_Vector_base<int, std::allocator<int> >::_M_allocate(unsigned int) (stl_vector.h:168);;0;526;0.0
parents;;0;526;0.0
std::_Vector_base<int, std::allocator<int> >::_Vector_base(unsigned int, std::allocator<int> const&) (stl_vector.h:137);;0;526;0.0
std::_Vector_base<int, std::allocator<int> >::_Vector_base(unsigned int, std::allocator<int> const&);;0;526;0.0
parents;;0;526;0.0
std::vector<int, std::allocator<int> >::vector(unsigned int, int const&, std::allocator<int> const&) (stl_vector.h:294);;0;526;0.0
children;;0;1052;0.0
std::_Vector_base<int, std::allocator<int> >::_M_create_storage(unsigned int) (stl_vector.h:180);;0;526;0.0
std::_Vector_base<int, std::allocator<int> >::_Vector_impl::_Vector_impl(std::allocator<int> const&) (stl_vector.h:91);;0;526;0.0
std::_Vector_base<int, std::allocator<int> >::_Vector_impl::_Vector_impl(std::allocator<int> const&);;0;526;0.0
children;;0;526;0.0
std::allocator<int>::allocator(std::allocator<int> const&) (allocator.h:106);;0;526;0.0
parents;;0;526;0.0
std::_Vector_base<int, std::allocator<int> >::_Vector_base(unsigned int, std::allocator<int> const&) (stl_vector.h:136);;0;526;0.0
std::_Vector_base<int, std::allocator<int> >::_Vector_impl::~_Vector_impl();;0;526;0.0
children;;0;526;0.0
std::allocator<int>::~allocator() (allocator.h:112);;0;526;0.0
parents;;0;526;0.0
std::_Vector_base<int, std::allocator<int> >::~_Vector_base() (stl_vector.h:162);;0;526;0.0
std::_Vector_base<int, std::allocator<int> >::~_Vector_base();;0;526;0.0
parents;;0;526;0.0
std::vector<int, std::allocator<int> >::~vector() (stl_vector.h:404);;0;526;0.0
children;;0;1052;0.0
std::_Vector_base<int, std::allocator<int> >::_M_deallocate(int*, unsigned int) (stl_vector.h:172);;0;526;0.0
std::_Vector_base<int, std::allocator<int> >::_Vector_impl::~_Vector_impl() (stl_vector.h:80);;0;526;0.0
std::allocator<int>::allocator();;0;526;0.0
parents;;7;526;3.4482758
cv::videostab::estimateGlobalMotionRansac(cv::_InputArray const&, cv::_InputArray const&, int, cv::videostab::RansacParams const&, float*, int*) (global_motion.cpp:366);;7;526;3.4482758
children;;0;526;0.0
__gnu_cxx::new_allocator<int>::new_allocator() (new_allocator.h:69);;0;526;0.0
std::allocator<int>::allocator(std::allocator<int> const&);;0;526;0.0
children;;0;526;0.0
__gnu_cxx::new_allocator<int>::new_allocator(__gnu_cxx::new_allocator<int> const&) (new_allocator.h:71);;0;526;0.0
parents;;0;526;0.0
std::_Vector_base<int, std::allocator<int> >::_Vector_impl::_Vector_impl(std::allocator<int> const&) (stl_vector.h:92);;0;526;0.0
std::ceil(float);;0;526;0.0
parents;;0;526;0.0
cv::videostab::RansacParams::niters() const (motion_core.hpp:79);;0;526;0.0
std::pow(float, int);;0;526;0.0
parents;;0;526;0.0
cv::videostab::RansacParams::niters() const (motion_core.hpp:79);;0;526;0.0
std::vector<int, std::allocator<int> >::_M_fill_initialize(unsigned int, int const&);;0;526;0.0
parents;;0;526;0.0
std::vector<int, std::allocator<int> >::vector(unsigned int, int const&, std::allocator<int> const&) (stl_vector.h:295);;0;526;0.0
children;;0;1052;0.0
std::_Vector_base<int, std::allocator<int> >::_M_get_Tp_allocator() (stl_vector.h:114);;0;526;0.0
void std::__uninitialized_fill_n_a<int*, unsigned int, int, int>(int*, unsigned int, int const&, std::allocator<int>&) (stl_uninitialized.h:334);;0;526;0.0
std::vector<int, std::allocator<int> >::vector(unsigned int, int const&, std::allocator<int> const&);;0;526;0.0
parents;;7;526;3.4482758
cv::videostab::estimateGlobalMotionRansac(cv::_InputArray const&, cv::_InputArray const&, int, cv::videostab::RansacParams const&, float*, int*) (global_motion.cpp:366);;7;526;3.4482758
children;;0;1052;0.0
std::_Vector_base<int, std::allocator<int> >::_Vector_base(unsigned int, std::allocator<int> const&) (stl_vector.h:135);;0;526;0.0
std::vector<int, std::allocator<int> >::_M_fill_initialize(unsigned int, int const&) (stl_vector.h:1179);;0;526;0.0
std::vector<int, std::allocator<int> >::~vector();;0;526;0.0
parents;;7;526;3.4482758
cv::videostab::estimateGlobalMotionRansac(cv::_InputArray const&, cv::_InputArray const&, int, cv::videostab::RansacParams const&, float*, int*) (global_motion.cpp:447);;7;526;3.4482758
children;;0;1578;0.0
std::_Vector_base<int, std::allocator<int> >::_M_get_Tp_allocator() (stl_vector.h:114);;0;526;0.0
std::_Vector_base<int, std::allocator<int> >::~_Vector_base() (stl_vector.h:160);;0;526;0.0
void std::_Destroy<int*, int>(int*, int*, std::allocator<int>&) (stl_construct.h:152);;0;526;0.0
cv::Matx<double, 4, 1>::Matx();;0;527;0.0
parents;;0;527;0.0
cv::Vec<double, 4>::Vec() (operations.hpp:1129);;0;527;0.0
cv::Ptr<cv::videostab::MotionFilterBase>::operator->();;0;527;0.0
parents;;0;527;0.0
cv::videostab::OnePassStabilizer::estimateStabilizationMotion() (stabilizer.cpp:301);;0;527;0.0
cv::Scalar_<double>::Scalar_();;0;527;0.0
children;;0;527;0.0
cv::Vec<double, 4>::Vec() (operations.hpp:1128);;0;527;0.0
parents;;0;527;0.0
cv::videostab::StabilizerBase::stabilizeFrame() (stabilizer.cpp:211);;0;527;0.0
cv::Vec<double, 4>::Vec();;0;527;0.0
children;;0;527;0.0
cv::Matx<double, 4, 1>::Matx() (operations.hpp:197);;0;527;0.0
parents;;0;527;0.0
cv::Scalar_<double>::Scalar_() (operations.hpp:2006);;0;527;0.0
cv::videostab::GaussianMotionFilter::stabilize(int, std::vector<cv::Mat, std::allocator<cv::Mat> > const&, std::pair<int, int>);;0;527;0.0
children;;27;251552;13.300492
cv::Mat::~Mat() (mat.hpp:274);;14;41574;6.8965516
cv::MatExpr::~MatExpr() (mat.hpp:1211);;6;42101;2.955665
cv::videostab::getMotion(int, int, std::vector<cv::Mat, std::allocator<cv::Mat> > const&) (global_motion.cpp:808);;5;41047;2.4630542
cv::Mat::type() const (mat.hpp:399);;1;527;0.49261084
cv::operator+=(cv::Mat const&, cv::MatExpr const&) (mat.hpp:1459);;1;41047;0.49261084
cv::Mat const& cv::videostab::at<cv::Mat>(int, std::vector<cv::Mat, std::allocator<cv::Mat> > const&) (ring_buffer.hpp:59);;0;527;0.0
cv::Mat::MSize::operator()() const (mat.hpp:708);;0;527;0.0
int const& std::max<int>(int const&, int const&) (stl_algobase.h:210);;0;527;0.0
int const& std::min<int>(int const&, int const&) (stl_algobase.h:187);;0;527;0.0
cv::MatExpr::operator cv::Mat() const (mat.hpp:1219);;0;1054;0.0
std::vector<float, std::allocator<float> >::operator[](unsigned int) (stl_vector.h:750);;0;82094;0.0
parents;;0;527;0.0
cv::videostab::OnePassStabilizer::estimateStabilizationMotion() (stabilizer.cpp:301);;0;527;0.0
cv::videostab::OnePassStabilizer::estimateStabilizationMotion();;0;527;0.0
parents;;0;527;0.0
cv::videostab::StabilizerBase::stabilizeFrame() (stabilizer.cpp:192);;0;527;0.0
children;;0;1581;0.0
cv::Ptr<cv::videostab::MotionFilterBase>::operator->() (operations.hpp:2636);;0;527;0.0
cv::videostab::GaussianMotionFilter::stabilize(int, std::vector<cv::Mat, std::allocator<cv::Mat> > const&, std::pair<int, int>) (motion_stabilizing.cpp:108);;0;527;0.0
std::pair<int, int> std::make_pair<int, int>(int, int) (stl_pair.h:278);;0;527;0.0
cv::videostab::OnePassStabilizer::postProcessFrame(cv::Mat const&);;0;527;0.0
children;;0;527;0.0
cv::videostab::StabilizerBase::postProcessFrame(cv::Mat const&) (stabilizer.cpp:240);;0;527;0.0
parents;;0;527;0.0
cv::videostab::StabilizerBase::nextStabilizedFrame() (stabilizer.cpp:111);;0;527;0.0
cv::videostab::StabilizerBase::postProcessFrame(cv::Mat const&);;0;527;0.0
parents;;0;527;0.0
cv::videostab::OnePassStabilizer::postProcessFrame(cv::Mat const&) (stabilizer.cpp:307);;0;527;0.0
children;;0;2108;0.0
cv::Mat::operator()(cv::Rect_<int> const&) const (mat.hpp:379);;0;527;0.0
cv::Rect_<int>::Rect_(int, int, int, int) (operations.hpp:1891);;0;527;0.0
std::floor(float) (cmath:283);;0;1054;0.0
cv::videostab::StabilizerBase::stabilizeFrame();;0;527;0.0
children;;56;7378;27.586206
cv::Mat::operator=(cv::Mat const&) (mat.hpp:282);;42;1054;20.689655
cv::Mat::~Mat() (mat.hpp:274);;14;1054;6.8965516
cv::Mat::operator()(cv::Rect_<int> const&) const (mat.hpp:379);;0;527;0.0
cv::Ptr<cv::videostab::ImageMotionEstimatorBase>::operator->() (operations.hpp:2636);;0;527;0.0
cv::Rect_<int>::Rect_(int, int, int, int) (operations.hpp:1891);;0;527;0.0
cv::Scalar_<double>::Scalar_() (operations.hpp:2006);;0;527;0.0
cv::Size_<int>::Size_(cv::Size_<int> const&) (operations.hpp:1852);;0;527;0.0
cv::videostab::KeypointBasedMotionEstimator::motionModel() const (global_motion.hpp:178);;0;527;0.0
cv::videostab::OnePassStabilizer::estimateStabilizationMotion() (stabilizer.cpp:300);;0;527;0.0
cv::Mat& cv::videostab::at<cv::Mat>(int, std::vector<cv::Mat, std::allocator<cv::Mat> >&) (ring_buffer.hpp:54);;0;1581;0.0
parents;;0;527;0.0
cv::videostab::StabilizerBase::doOneIteration() (stabilizer.cpp:134);;0;527;0.0
int const& std::max<int>(int const&, int const&);;0;527;0.0
parents;;0;527;0.0
cv::videostab::GaussianMotionFilter::stabilize(int, std::vector<cv::Mat, std::allocator<cv::Mat> > const&, std::pair<int, int>) (motion_stabilizing.cpp:112);;0;527;0.0
int const& std::min<int>(int const&, int const&);;0;527;0.0
parents;;0;527;0.0
cv::videostab::GaussianMotionFilter::stabilize(int, std::vector<cv::Mat, std::allocator<cv::Mat> > const&, std::pair<int, int>) (motion_stabilizing.cpp:113);;0;527;0.0
std::pair<int, int> std::make_pair<int, int>(int, int);;0;527;0.0
children;;0;527;0.0
std::pair<int, int>::pair(int const&, int const&) (stl_pair.h:104);;0;527;0.0
parents;;0;527;0.0
cv::videostab::OnePassStabilizer::estimateStabilizationMotion() (stabilizer.cpp:301);;0;527;0.0
std::pair<int, int>::pair(int const&, int const&);;0;527;0.0
parents;;0;527;0.0
std::pair<int, int> std::make_pair<int, int>(int, int) (stl_pair.h:279);;0;527;0.0
cv::Ptr<cv::videostab::MotionEstimatorBase>::operator->();;0;528;0.0
parents;;1;528;0.49261084
cv::videostab::KeypointBasedMotionEstimator::estimate(cv::Mat const&, cv::Mat const&, bool*) (global_motion.cpp:729);;1;526;0.49261084
